Student_ID,Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Internet_Hours,Extra_Classes,Final_Score
1,8.0,46.0,70,5.0,5.1,9.1,Yes,64.0
2,1.3,50.0,62,5.0,6.5,1.3,Yes,50.7
3,8.7,71.0,63,9.0,6.9,9.9,Yes,76.2
4,2.8,72.0,78,6.0,4.8,11.5,No,43.4
5,5.2,67.0,79,11.0,5.3,1.5,No,70.7
6,11.7,69.0,45,10.0,5.5,7.9,No,72.7
7,8.8,47.0,64,6.0,8.9,10.4,Yes,64.6
8,6.0,98.0,81,4.0,5.9,3.3,No,68.9
9,8.5,49.0,56,10.0,7.6,2.8,No,65.0
10,11.2,89.0,63,12.0,5.6,9.5,Yes,80.5
11,1.4,65.0,86,6.0,4.3,11.0,No,43.1
12,6.5,86.0,93,4.0,5.3,3.7,No,73.0
13,5.7,82.0,86,7.0,5.1,12.0,No,56.7
14,1.5,52.0,54,12.0,4.8,8.5,Yes,48.2
15,7.6,74.0,67,10.0,8.3,1.1,Yes,81.5
16,6.9,62.0,78,3.0,5.5,2.7,Yes,72.6
17,10.6,61.0,57,10.0,8.6,10.6,No,77.9
18,6.6,57.0,54,7.0,7.8,6.9,Yes,62.4
19,6.4,52.0,81,6.0,5.2,3.6,Yes,60.9
20,6.3,49.0,51,4.0,7.3,11.4,Yes,46.6
21,10.6,72.0,62,10.0,7.8,8.6,No,74.5
22,8.4,68.0,91,10.0,6.3,3.7,Yes,82.8
23,7.5,59.0,63,2.0,4.4,7.9,Yes,49.0
24,1.3,66.0,44,10.0,5.2,8.4,Yes,45.7
25,9.0,81.0,95,5.0,7.9,9.9,Yes,73.6
26,8.2,67.0,89,8.0,6.3,9.0,Yes,70.8
27,9.0,96.0,48,5.0,5.0,6.9,Yes,63.6
28,4.1,60.0,44,9.0,8.0,10.4,Yes,44.5
29,12.0,98.0,36,3.0,8.6,10.3,Yes,65.7
30,6.3,100.0,86,2.0,4.8,1.0,No,62.2
31,9.6,74.0,71,8.0,7.5,9.0,No,67.7
32,4.3,48.0,42,7.0,4.3,7.4,Yes,38.9
33,6.6,99.0,58,3.0,7.0,8.4,Yes,58.2
34,11.4,81.0,66,11.0,7.0,7.8,No,84.7
35,7.2,65.0,68,5.0,7.3,4.5,No,60.7
36,8.4,64.0,93,7.0,8.6,11.3,Yes,77.7
37,12.0,51.0,44,10.0,5.1,3.9,No,78.0
38,10.7,68.0,71,4.0,6.2,7.0,No,71.5
39,11.9,86.0,36,12.0,8.1,4.3,Yes,89.2
40,2.5,52.0,48,10.0,4.8,4.1,Yes,53.9
41,3.2,85.0,68,10.0,6.4,11.0,Yes,54.0
42,5.7,62.0,40,2.0,5.7,2.4,No,38.1
43,5.9,90.0,89,10.0,4.0,1.8,Yes,80.3
44,10.2,82.0,53,8.0,4.6,4.4,Yes,80.4
45,3.3,60.0,48,7.0,7.9,10.7,No,51.2
46,9.2,60.0,55,4.0,8.4,1.3,No,68.7
47,5.5,87.0,66,6.0,4.8,8.7,No,62.5
48,10.4,59.0,60,9.0,5.7,10.0,Yes,68.8
49,8.3,70.0,77,6.0,8.3,11.6,No,64.9
50,6.6,88.0,77,2.0,4.6,11.7,Yes,60.9
51,11.8,47.0,48,11.0,6.2,9.0,No,70.5
52,11.8,52.0,84,11.0,5.0,1.5,No,80.3
53,11.2,79.0,60,7.0,6.2,11.4,No,72.4
54,8.3,52.0,73,10.0,5.5,5.5,No,74.3
55,7.1,57.0,88,12.0,8.7,8.5,Yes,83.2
56,4.3,80.0,35,6.0,5.4,5.7,No,43.2
57,5.9,58.0,95,4.0,7.3,4.1,No,59.6
58,11.5,60.0,74,5.0,8.0,2.6,Yes,77.6
59,6.2,99.0,44,9.0,6.1,7.9,Yes,65.8
